"id","agent","alpha","gamma","epsilon","training_index","test_performance","num_states_visited","avg_visits_per_state","avg_score","avg_guesses","training_delta_raw","training_delta_rms"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","56","0.9290657439446367","239","39.92050209205021","-5.006920415224913","4.486159169550173","72.67078457372479","0.3288628606501896"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","57","0.8771626297577855","239","40.09205020920502","-6.1911764705882355","4.730103806228374","71.59003190894349","0.3339151629918504"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","58","0.8875432525951558","239","40.20502092050209","-6.0432525951557095","4.71280276816609","77.13458136933154","0.3700209056540351"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","59","0.9134948096885813","239","40.43514644351465","-5.040657439446367","4.506920415224913","80.31983907586881","0.3860966043452878"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","60","0.9100346020761245","239","40.31380753138075","-4.929065743944637","4.43598615916955","73.22698660605974","0.3256061269186476"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","61","0.8771626297577855","239","40.2092050209205","-5.125432525951557","4.416955017301038","65.74168281979404","0.2714732275033054"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","62","0.8927335640138409","239","40.31380753138075","-5.091695501730104","4.475778546712803","69.46549805804396","0.33350262486608345"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","63","0.9013840830449827","239","39.84518828451883","-5.170415224913495","4.493079584775087","71.87617843470461","0.3316512217761038"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","64","0.9083044982698962","239","40.34309623430963","-4.986159169550173","4.465397923875432","71.89606585649706","0.3237571291514159"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","65","0.903114186851211","239","40.1255230125523","-4.88840830449827","4.380622837370242","81.89077107870976","0.3549281677074538"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","66","0.8719723183391004","239","40.28870292887029","-6.059688581314879","4.679930795847751","85.71366296336429","0.37508109041054954"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","67","0.9065743944636678","239","40.42259414225941","-4.975778546712803","4.420415224913495","79.87533887474879","0.34754922827218565"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","68","0.9152249134948097","239","40.14644351464435","-4.987024221453288","4.401384083044983","79.62406688406232","0.35508850030341366"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","69","0.9065743944636678","239","39.92887029288703","-5.010380622837371","4.505190311418685","70.82969722740508","0.35623584169085215"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","70","0.8875432525951558","239","40.0836820083682","-5.230103806228374","4.4809688581314875","71.57877074099478","0.3093223090737403"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","71","0.903114186851211","239","40.0836820083682","-5.587370242214533","4.617647058823529","71.9925596089119","0.3271950388766851"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","72","0.8996539792387543","239","40.22594142259414","-5.0190311418685125","4.460207612456747","66.41866861606206","0.31783146171433796"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","73","0.8633217993079585","239","40.06694560669456","-6.309688581314879","4.73356401384083","86.66452273644698","0.3444742511125473"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","74","0.8771626297577855","239","40.27615062761506","-6.275951557093426","4.757785467128028","74.93156165554537","0.35755468497213283"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","75","0.8512110726643599","239","40.28033472803347","-6.112456747404845","4.659169550173011","73.34461628736867","0.35333030374782165"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","76","0.9204152249134948","239","40.03347280334728","-4.9567474048442905","4.460207612456747","86.01170955910918","0.34950900067724555"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","77","0.8788927335640139","239","40.26359832635983","-6.219723183391004","4.693771626297578","73.52462670466983","0.3919082346513077"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","78","0.9186851211072664","239","40.56903765690377","-4.777681660899654","4.399653979238754","73.35583424354685","0.29045700557689863"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","79","0.9083044982698962","239","39.55648535564853","-5.168685121107266","4.517301038062284","65.70653348429023","0.30802478100081465"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","80","0.9013840830449827","239","39.83682008368201","-5.044982698961937","4.4567474048442905","68.0524436152427","0.32302638429337194"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","81","0.916955017301038","239","40.0418410041841","-4.860726643598616","4.406574394463668","68.79000688903139","0.30569411099879573"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","82","0.9307958477508651","239","40.84937238493724","-4.773356401384083","4.408304498269896","85.01040584933753","0.3681332320631876"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","83","0.9238754325259516","239","39.92887029288703","-4.744809688581315","4.418685121107266","72.39529886946941","0.35840587385843425"
"SarsaAgent-0.05-0.90-0.05","SarsaAgent","0.05","0.9","0.05","84","0.8875432525951558","239","40.27196652719665","-5.203287197231834","4.539792387543253","73.59805593667177","0.35633000633908474"
